a,b,c,d,e,f
6.82,0.238,26.58,1.235,0.238,1.33
8.77,0.294,25.551,1.188,0.294,1.272
8.07,0.264,25.844,1.213,0.264,1.304
7.51,0.294,25.551,1.188,0.294,1.272
2.98,0.274,26.2,1.205,0.274,1.293
9.57,0.205,27.019,1.261,0.205,1.364
7.52,0.282,25.524,1.198,0.282,1.285
0.56,0.36,23.981,1.132,0.36,1.203
8.38,0.394,23.915,1.101,0.394,1.166
2.33,0.257,26.681,1.219,0.257,1.311
0.84,0.253,26.652,1.222,0.253,1.315
5.71,0.31,25.544,1.175,0.31,1.256
3.75,0.317,25.242,1.169,0.317,1.248
5.56,0.284,25.613,1.196,0.284,1.283
0.75,0.513,20.537,0.987,0.513,1.032
9.15,0.283,26.425,1.197,0.283,1.284
3.53,0.307,24.626,1.177,0.307,1.259
8.14,0.301,25.667,1.182,0.301,1.265
5.52,0.294,25.551,1.188,0.294,1.272
3.77,0.287,25.834,1.194,0.287,1.28
4.15,0.295,25.778,1.188,0.295,1.271
9.13,0.608,18.451,0.885,0.608,0.917
2.05,0.675,17.529,0.806,0.675,0.83
0.22,0.238,26.58,1.235,0.238,1.33
9.68,0.238,26.58,1.235,0.238,1.33
2.13,0.267,26.37,1.211,0.267,1.301
3.48,0.413,22.525,1.083,0.413,1.145
7.96,0.348,24.56,1.142,0.348,1.215
6.21,0.274,25.976,1.205,0.274,1.293
8.74,0.363,24.392,1.129,0.363,1.199
0.32,0.227,26.181,1.243,0.227,1.342
6.9,0.284,25.613,1.196,0.284,1.283
2.77,0.339,25.217,1.149,0.339,1.225
4.63,0.266,26.286,1.212,0.266,1.302
4.47,0.339,25.217,1.149,0.339,1.225
2.11,0.675,17.529,0.806,0.675,0.83
4.98,0.675,17.529,0.806,0.675,0.83
3.63,0.22,27.015,1.249,0.22,1.349
1.02,0.318,25.383,1.168,0.318,1.247
1.73,0.236,26.058,1.236,0.236,1.333
3.98,0.513,20.537,0.987,0.513,1.032
5.57,0.22,27.015,1.249,0.22,1.349
5.08,0.172,27.25,1.287,0.172,1.398
0.52,0.282,25.524,1.198,0.282,1.285
2.55,0.297,25.71,1.186,0.297,1.269
8.51,0.31,25.544,1.175,0.31,1.256
7.41,0.52,21.163,0.98,0.52,1.024
2.36,0.274,26.2,1.205,0.274,1.293
3.77,0.675,17.529,0.806,0.675,0.83
3.84,0.283,26.425,1.197,0.283,1.284
6.94,0.513,20.537,0.987,0.513,1.032
3.12,0.238,26.58,1.235,0.238,1.33
7.55,0.267,26.37,1.211,0.267,1.301
7.22,0.205,27.019,1.261,0.205,1.364
1.82,0.52,21.163,0.98,0.52,1.024
1.39,0.236,26.058,1.236,0.236,1.333
0.23,0.363,24.392,1.129,0.363,1.199
1.23,0.31,25.544,1.175,0.31,1.256
2.27,0.316,25.846,1.17,0.316,1.249
1.14,0.297,25.71,1.186,0.297,1.269
5.87,0.275,25.609,1.204,0.275,1.292
7.8,0.274,26.2,1.205,0.274,1.293
4.15,0.253,26.652,1.222,0.253,1.315
2.05,0.283,26.425,1.197,0.283,1.284
5.34,0.295,25.778,1.188,0.295,1.271
9.46,0.294,25.551,1.188,0.294,1.272
8.4,0.257,26.681,1.219,0.257,1.311
1.04,0.339,25.217,1.149,0.339,1.225
8.56,0.394,23.915,1.101,0.394,1.166
7.36,0.413,22.525,1.083,0.413,1.145
6.25,0.328,25.256,1.159,0.328,1.237
7.74,0.294,25.85,1.189,0.294,1.272
5.66,0.52,21.163,0.98,0.52,1.024
4.03,0.22,27.015,1.249,0.22,1.349
6.91,0.481,21.929,1.019,0.481,1.069
5.54,0.284,25.613,1.196,0.284,1.283
8.74,0.443,23.058,1.056,0.443,1.112
3.83,0.422,23.082,1.076,0.422,1.135
0.68,0.301,25.667,1.182,0.301,1.265
9.37,0.22,27.015,1.249,0.22,1.349
4.96,0.316,25.846,1.17,0.316,1.249
4.95,0.284,25.613,1.196,0.284,1.283
0.05,0.404,23.663,1.091,0.404,1.155
0.87,0.367,24.48,1.125,0.367,1.195
2.5,0.317,25.242,1.169,0.317,1.248
4.73,0.31,25.544,1.175,0.31,1.256
7.45,0.367,24.48,1.125,0.367,1.195
2.3,0.237,26.817,1.235,0.237,1.332
3.19,0.481,21.929,1.019,0.481,1.069
1.85,0.289,26.187,1.193,0.289,1.278
4.8,0.316,25.846,1.17,0.316,1.249
1.1,0.297,25.71,1.186,0.297,1.269
9.88,0.274,25.976,1.205,0.274,1.293
2.59,0.263,25.766,1.214,0.263,1.305
9.91,0.391,23.99,1.104,0.391,1.169
2.31,0.608,18.451,0.885,0.608,0.917
2.16,0.367,24.48,1.125,0.367,1.195
4.91,0.301,25.667,1.182,0.301,1.265
0.35,0.205,27.019,1.261,0.205,1.364
0.44,0.316,25.846,1.17,0.316,1.249
2.53,0.31,25.544,1.175,0.31,1.256
0.76,0.274,25.976,1.205,0.274,1.293
6.62,0.443,23.058,1.056,0.443,1.112
7.08,0.246,26.156,1.228,0.246,1.322
9.61,0.294,25.551,1.188,0.294,1.272
0.01,0.36,23.981,1.132,0.36,1.203
1.16,0.316,25.846,1.17,0.316,1.249
3.92,0.295,25.778,1.188,0.295,1.271
0.67,0.287,25.834,1.194,0.287,1.28
6.76,0.294,25.85,1.189,0.294,1.272
4.89,0.52,21.163,0.98,0.52,1.024
4.51,0.237,26.817,1.235,0.237,1.332
8.68,0.236,26.058,1.236,0.236,1.333
3.12,0.608,18.451,0.885,0.608,0.917
4.72,0.481,21.929,1.019,0.481,1.069
0.18,0.317,25.242,1.169,0.317,1.248
2.26,0.316,25.846,1.17,0.316,1.249
6.8,0.199,27.665,1.266,0.199,1.37
7.49,0.237,26.817,1.235,0.237,1.332
7.76,0.206,26.353,1.26,0.206,1.363
0.79,0.422,23.082,1.076,0.422,1.135
0.41,0.36,23.981,1.132,0.36,1.203
2.99,0.246,26.156,1.228,0.246,1.322
8.95,0.413,22.525,1.083,0.413,1.145
0.82,0.348,24.56,1.142,0.348,1.215
7.44,0.36,23.981,1.132,0.36,1.203
2.28,0.413,22.525,1.083,0.413,1.145
0.31,0.257,26.681,1.219,0.257,1.311
7.35,0.264,25.844,1.213,0.264,1.304
4.87,0.257,26.681,1.219,0.257,1.311
3.59,0.413,22.525,1.083,0.413,1.145
6.33,0.328,25.256,1.159,0.328,1.237
4.05,0.267,26.37,1.211,0.267,1.301
3.99,0.287,25.834,1.194,0.287,1.28
2.35,0.608,18.451,0.885,0.608,0.917
4.31,0.275,25.609,1.204,0.275,1.292
3.57,0.246,26.156,1.228,0.246,1.322
2.7,0.283,26.425,1.197,0.283,1.284
1.8,0.52,21.163,0.98,0.52,1.024
9.65,0.199,27.665,1.266,0.199,1.37
5.32,0.367,24.48,1.125,0.367,1.195
1.56,0.363,24.392,1.129,0.363,1.199
4.97,0.391,23.99,1.104,0.391,1.169
9.19,0.246,26.156,1.228,0.246,1.322
6.05,0.317,25.242,1.169,0.317,1.248
1.09,0.339,25.217,1.149,0.339,1.225
3.17,0.266,26.286,1.212,0.266,1.302
6.1,0.339,25.217,1.149,0.339,1.225
5.87,0.363,24.392,1.129,0.363,1.199
9.14,0.301,25.667,1.182,0.301,1.265
5.49,0.227,26.181,1.243,0.227,1.342
9.27,0.363,24.392,1.129,0.363,1.199
6.7,0.481,21.929,1.019,0.481,1.069
5.22,0.318,25.383,1.168,0.318,1.247
9.63,0.422,23.082,1.076,0.422,1.135
0.03,0.294,25.85,1.189,0.294,1.272
1.75,0.266,26.286,1.212,0.266,1.302
8.23,0.404,23.663,1.091,0.404,1.155
1.53,0.263,25.766,1.214,0.263,1.305
2.3,0.289,26.187,1.193,0.289,1.278
2.75,0.422,23.082,1.076,0.422,1.135
0.16,0.443,23.058,1.056,0.443,1.112
5.96,0.316,25.846,1.17,0.316,1.249
0.68,0.274,26.2,1.205,0.274,1.293
1.9,0.316,25.846,1.17,0.316,1.249
0.6,0.289,26.187,1.193,0.289,1.278
8.22,0.297,25.71,1.186,0.297,1.269
7.37,0.301,25.667,1.182,0.301,1.265
1.28,0.199,27.665,1.266,0.199,1.37
3.6,0.481,21.929,1.019,0.481,1.069
9.42,0.301,25.667,1.182,0.301,1.265
9.31,0.22,27.015,1.249,0.22,1.349
1.41,0.172,27.25,1.287,0.172,1.398
3.46,0.196,27.295,1.268,0.196,1.374
1.39,0.675,17.529,0.806,0.675,0.83
0.68,0.282,25.524,1.198,0.282,1.285
5.06,0.274,25.976,1.205,0.274,1.293
4.6,0.294,25.85,1.189,0.294,1.272
7.83,0.289,26.187,1.193,0.289,1.278
6.56,0.274,26.2,1.205,0.274,1.293
4.14,0.413,22.525,1.083,0.413,1.145
2.6,0.31,25.544,1.175,0.31,1.256
6.29,0.422,23.082,1.076,0.422,1.135
4.99,0.199,27.665,1.266,0.199,1.37
6.14,0.196,27.295,1.268,0.196,1.374
3.15,0.264,25.844,1.213,0.264,1.304
6.37,0.297,25.71,1.186,0.297,1.269
1.06,0.237,26.817,1.235,0.237,1.332
0.71,0.274,26.2,1.205,0.274,1.293
6.61,0.317,25.242,1.169,0.317,1.248
5.15,0.36,23.981,1.132,0.36,1.203
6.15,0.404,23.663,1.091,0.404,1.155
2.93,0.422,23.082,1.076,0.422,1.135
1.11,0.413,22.525,1.083,0.413,1.145
9.43,0.22,27.015,1.249,0.22,1.349
8.79,0.481,21.929,1.019,0.481,1.069
5.45,0.196,27.295,1.268,0.196,1.374
7.26,0.264,25.844,1.213,0.264,1.304
5.08,0.317,25.242,1.169,0.317,1.248
1.61,0.274,26.2,1.205,0.274,1.293
8.8,0.205,27.019,1.261,0.205,1.364
7.84,0.289,26.187,1.193,0.289,1.278
7.5,0.38,23.847,1.114,0.38,1.181
3.85,0.287,25.834,1.194,0.287,1.28
6.96,0.199,27.665,1.266,0.199,1.37
8.74,0.206,26.353,1.26,0.206,1.363
6.76,0.275,25.609,1.204,0.275,1.292
7.85,0.404,23.663,1.091,0.404,1.155
4.34,0.275,25.609,1.204,0.275,1.292
1.73,0.257,26.681,1.219,0.257,1.311
9.5,0.513,20.537,0.987,0.513,1.032
5.86,0.317,25.242,1.169,0.317,1.248
4.3,0.391,23.99,1.104,0.391,1.169
1.33,0.363,24.392,1.129,0.363,1.199
1.59,0.348,24.56,1.142,0.348,1.215
2.62,0.274,25.976,1.205,0.274,1.293
1.56,0.443,23.058,1.056,0.443,1.112
7.72,0.328,25.256,1.159,0.328,1.237
4.94,0.413,22.525,1.083,0.413,1.145
3.09,0.675,17.529,0.806,0.675,0.83
8.51,0.675,17.529,0.806,0.675,0.83
0.68,0.253,26.652,1.222,0.253,1.315
1.41,0.422,23.082,1.076,0.422,1.135
0.62,0.36,23.981,1.132,0.36,1.203
7.58,0.199,27.665,1.266,0.199,1.37
9.47,0.307,24.626,1.177,0.307,1.259
4.98,0.237,26.817,1.235,0.237,1.332
9.64,0.238,26.58,1.235,0.238,1.33
3.12,0.206,26.353,1.26,0.206,1.363
8.57,0.236,26.058,1.236,0.236,1.333
6.54,0.316,25.846,1.17,0.316,1.249
7.4,0.274,26.2,1.205,0.274,1.293
4.27,0.267,26.37,1.211,0.267,1.301
0.79,0.294,25.551,1.188,0.294,1.272
9.01,0.301,25.667,1.182,0.301,1.265
2.44,0.172,27.25,1.287,0.172,1.398
1.91,0.363,24.392,1.129,0.363,1.199
9.79,0.274,26.2,1.205,0.274,1.293
1.67,0.317,25.242,1.169,0.317,1.248
3.05,0.263,25.766,1.214,0.263,1.305
8.07,0.199,27.665,1.266,0.199,1.37
3.8,0.391,23.99,1.104,0.391,1.169
4.21,0.274,26.2,1.205,0.274,1.293
8.05,0.391,23.99,1.104,0.391,1.169
1.13,0.306,25.415,1.178,0.306,1.26
2.84,0.206,26.353,1.26,0.206,1.363
8.77,0.274,26.2,1.205,0.274,1.293
5.83,0.267,26.37,1.211,0.267,1.301
0.94,0.363,24.392,1.129,0.363,1.199
3.17,0.52,21.163,0.98,0.52,1.024
6.4,0.301,25.667,1.182,0.301,1.265
6.01,0.227,26.181,1.243,0.227,1.342
4.72,0.422,23.082,1.076,0.422,1.135
6.23,0.266,26.286,1.212,0.266,1.302
8.33,0.287,25.834,1.194,0.287,1.28
2.78,0.363,24.392,1.129,0.363,1.199
8.74,0.205,27.019,1.261,0.205,1.364
2.58,0.306,25.415,1.178,0.306,1.26
7.18,0.675,17.529,0.806,0.675,0.83
6.63,0.38,23.847,1.114,0.38,1.181
7.5,0.363,24.392,1.129,0.363,1.199
9.13,0.172,27.25,1.287,0.172,1.398
8.29,0.294,25.551,1.188,0.294,1.272
5.77,0.199,27.665,1.266,0.199,1.37
8.52,0.422,23.082,1.076,0.422,1.135
8.22,0.294,25.551,1.188,0.294,1.272
3.75,0.367,24.48,1.125,0.367,1.195
5.17,0.608,18.451,0.885,0.608,0.917
1.05,0.294,25.551,1.188,0.294,1.272
2.09,0.391,23.99,1.104,0.391,1.169
1.3,0.31,25.544,1.175,0.31,1.256
0.88,0.294,25.85,1.189,0.294,1.272
5.32,0.206,26.353,1.26,0.206,1.363
1.77,0.316,25.846,1.17,0.316,1.249
1.51,0.274,26.2,1.205,0.274,1.293
7.93,0.52,21.163,0.98,0.52,1.024
1.32,0.318,25.383,1.168,0.318,1.247
7.91,0.481,21.929,1.019,0.481,1.069
9.49,0.284,25.613,1.196,0.284,1.283
5.63,0.236,26.058,1.236,0.236,1.333
4.43,0.443,23.058,1.056,0.443,1.112
8.47,0.608,18.451,0.885,0.608,0.917
9.26,0.36,23.981,1.132,0.36,1.203
3.59,0.172,27.25,1.287,0.172,1.398
9.95,0.295,25.778,1.188,0.295,1.271
1.43,0.283,26.425,1.197,0.283,1.284
0.89,0.328,25.256,1.159,0.328,1.237
8.08,0.196,27.295,1.268,0.196,1.374
1.45,0.316,25.846,1.17,0.316,1.249
4.76,0.404,23.663,1.091,0.404,1.155
6.48,0.339,25.217,1.149,0.339,1.225
6.37,0.267,26.37,1.211,0.267,1.301
7.21,0.294,25.551,1.188,0.294,1.272
1.03,0.363,24.392,1.129,0.363,1.199
0.04,0.404,23.663,1.091,0.404,1.155
5.72,0.443,23.058,1.056,0.443,1.112
0.42,0.237,26.817,1.235,0.237,1.332
9.66,0.289,26.187,1.193,0.289,1.278
6.44,0.608,18.451,0.885,0.608,0.917
2.09,0.608,18.451,0.885,0.608,0.917
2.12,0.367,24.48,1.125,0.367,1.195
0.36,0.246,26.156,1.228,0.246,1.322
0.52,0.236,26.058,1.236,0.236,1.333
0.58,0.283,26.425,1.197,0.283,1.284
9.11,0.264,25.844,1.213,0.264,1.304
3.3,0.481,21.929,1.019,0.481,1.069
7.62,0.301,25.667,1.182,0.301,1.265
7.7,0.263,25.766,1.214,0.263,1.305
2.23,0.289,26.187,1.193,0.289,1.278
7.83,0.306,25.415,1.178,0.306,1.26
2.28,0.513,20.537,0.987,0.513,1.032
7.85,0.38,23.847,1.114,0.38,1.181
8.96,0.257,26.681,1.219,0.257,1.311
6.43,0.513,20.537,0.987,0.513,1.032
6.9,0.246,26.156,1.228,0.246,1.322
9.58,0.675,17.529,0.806,0.675,0.83
4.33,0.307,24.626,1.177,0.307,1.259
9.95,0.274,26.2,1.205,0.274,1.293
5.23,0.275,25.609,1.204,0.275,1.292
8.29,0.172,27.25,1.287,0.172,1.398
1.62,0.391,23.99,1.104,0.391,1.169
8.55,0.263,25.766,1.214,0.263,1.305
2.22,0.227,26.181,1.243,0.227,1.342
4.81,0.289,26.187,1.193,0.289,1.278
5.13,0.237,26.817,1.235,0.237,1.332
5.77,0.283,26.425,1.197,0.283,1.284
9.02,0.52,21.163,0.98,0.52,1.024
0.36,0.238,26.58,1.235,0.238,1.33
4.37,0.253,26.652,1.222,0.253,1.315
9.04,0.481,21.929,1.019,0.481,1.069
2.05,0.275,25.609,1.204,0.275,1.292
0.69,0.22,27.015,1.249,0.22,1.349
7.71,0.328,25.256,1.159,0.328,1.237
0.38,0.675,17.529,0.806,0.675,0.83
2.26,0.297,25.71,1.186,0.297,1.269
6.63,0.172,27.25,1.287,0.172,1.398
1.82,0.443,23.058,1.056,0.443,1.112
0.78,0.206,26.353,1.26,0.206,1.363
2.65,0.404,23.663,1.091,0.404,1.155
1.72,0.274,26.2,1.205,0.274,1.293
7.29,0.22,27.015,1.249,0.22,1.349
6.65,0.31,25.544,1.175,0.31,1.256
3.81,0.306,25.415,1.178,0.306,1.26
6.16,0.238,26.58,1.235,0.238,1.33
9.67,0.328,25.256,1.159,0.328,1.237
9.52,0.266,26.286,1.212,0.266,1.302
8.16,0.236,26.058,1.236,0.236,1.333
6.28,0.196,27.295,1.268,0.196,1.374
4.12,0.205,27.019,1.261,0.205,1.364
2.86,0.481,21.929,1.019,0.481,1.069
6.71,0.301,25.667,1.182,0.301,1.265
4.32,0.316,25.846,1.17,0.316,1.249
7.38,0.274,25.976,1.205,0.274,1.293
2.05,0.306,25.415,1.178,0.306,1.26
